matchid,me,you,won,yourDead,myDead
battle-randombattle-1,larandumbbot,ashbot221,false,4,6
battle-randombattle-1,ashbot221,larandumbbot,true,6,4
battle-randombattle-2,ashbot221,larandumbbot,false,4,6
battle-randombattle-2,larandumbbot,ashbot221,true,6,4
battle-randombattle-3,larandumbbot,ashbot221,false,3,6
battle-randombattle-3,ashbot221,larandumbbot,true,6,3
battle-randombattle-4,larandumbbot,ashbot221,false,2,6
battle-randombattle-4,ashbot221,larandumbbot,true,6,2
battle-randombattle-5,larandumbbot,ashbot221,true,6,4
battle-randombattle-5,ashbot221,larandumbbot,false,4,6
battle-randombattle-6,larandumbbot,ashbot221,true,6,5
battle-randombattle-6,ashbot221,larandumbbot,false,5,6
battle-randombattle-7,larandumbbot,ashbot221,true,6,5
battle-randombattle-7,ashbot221,larandumbbot,false,5,6
battle-randombattle-8,larandumbbot,ashbot221,false,5,6
battle-randombattle-8,ashbot221,larandumbbot,true,6,5
battle-randombattle-9,larandumbbot,ashbot221,false,4,6
battle-randombattle-9,ashbot221,larandumbbot,true,6,4
battle-randombattle-10,larandumbbot,ashbot221,true,6,5
battle-randombattle-10,ashbot221,larandumbbot,false,5,6
battle-randombattle-11,larandumbbot,ashbot221,false,4,6
battle-randombattle-11,ashbot221,larandumbbot,true,6,4
battle-randombattle-12,larandumbbot,ashbot221,false,4,6
battle-randombattle-12,ashbot221,larandumbbot,true,6,4
